Title,Note,URL,Tags,Comment
THE GROUND depot.,,https://www.google.com/maps/place/THE+GROUND+depot./data=!4m2!3m1!1s0x6000e70fbb91f851:0x2642be7a83e1097a,,
DOUBLEDUTCH,,https://www.google.com/maps/place/DOUBLEDUTCH/data=!4m2!3m1!1s0x600370cd7c8fd677:0xab64e7c6e3331e0c,,
via,,https://www.google.com/maps/place/via/data=!4m2!3m1!1s0x354191003633c63b:0xbdf2ab0abb145945,,
MUMA,,https://www.google.com/maps/place/MUMA/data=!4m2!3m1!1s0x6018ed823266e499:0xedcf4189c54e25b3,,
sowhat vintage,,https://www.google.com/maps/place/sowhat+vintage/data=!4m2!3m1!1s0x6018f3298d6c7525:0x36465d26926119bc,,
"seer.studio | SEEING co.,ltd",,"https://www.google.com/maps/place/seer.studio+%7C+SEEING+co.,ltd/data=!4m2!3m1!1s0x6018f5baa388a82f:0x4d919340722e6829",,
USONIAN GOODS STORE,,https://www.google.com/maps/place/USONIAN+GOODS+STORE/data=!4m2!3m1!1s0x60188cbd43ca1df9:0x6be9bcba9c3c8614,,
"pierce, ice dalnum 5 09 1 8",,"https://www.google.com/maps/place/pierce,+ice+dalnum+5+09+1+8/data=!4m2!3m1!1s0x5f0b29f030dd3a9d:0x3078f6073f523072",,
NIGHTHAWKS,,https://www.google.com/maps/place/NIGHTHAWKS/data=!4m2!3m1!1s0x35419183c3fce51d:0x94d4900c7de4ab5d,,
CANNABIS,,https://www.google.com/maps/place/CANNABIS/data=!4m2!3m1!1s0x60188ca6a3f0369f:0x2744e2c5da87d5ea,,
ADDITION ADELAIDE,,https://www.google.com/maps/place/ADDITION+ADELAIDE/data=!4m2!3m1!1s0x60188ca3d3955555:0x847fc0cd469973c3,,
NONTOKYO,,https://www.google.com/maps/place/NONTOKYO/data=!4m2!3m1!1s0x6018f36990863e63:0x9bf1d7a3fbf31364,,
Rabble,,https://www.google.com/maps/place/Rabble/data=!4m2!3m1!1s0x60188d1326264021:0xe8f6b7693a957629,,
Mamegyorai Koenji,,https://www.google.com/maps/place/Mamegyorai+Koenji/data=!4m2!3m1!1s0x6018f3f66ee8e5ff:0x8282bc7495f0f291,,
YoYo Shop Spingear Koenji,,https://www.google.com/maps/place/YoYo+Shop+Spingear+Koenji/data=!4m2!3m1!1s0x6018f39e0d198be3:0x7183012a42b6fc8,,
Kiarrys,,https://www.google.com/maps/place/Kiarrys/data=!4m2!3m1!1s0x6018f26303bb9d95:0x4bf11ff30b0cf4e6,,
2000TOYS,,https://www.google.com/maps/place/2000TOYS/data=!4m2!3m1!1s0x6018f26287f5c619:0x8dab7c7612510c2a,,
curb Other Side カーブ 高円寺,,https://www.google.com/maps/place/curb+Other+Side+%E3%82%AB%E3%83%BC%E3%83%96+%E9%AB%98%E5%86%86%E5%AF%BA/data=!4m2!3m1!1s0x6018f30071e804e9:0x1f52f4fd8ed6d0dc,,
ATTIC MIRROR,,https://www.google.com/maps/place/ATTIC+MIRROR/data=!4m2!3m1!1s0x5ff8347f41d15555:0x6bade0749e0d798d,,
Carnation,,https://www.google.com/maps/place/Carnation/data=!4m2!3m1!1s0x5ff79061fd767b53:0xf955475b1d509b3f,,
JULIUS_7 TOKYO STORE,,https://www.google.com/maps/place/JULIUS_7+TOKYO+STORE/data=!4m2!3m1!1s0x60188b4413e75b81:0x931704f2fdfc01ea,,
WAREHOUSE DENIM TOKYO,,https://www.google.com/maps/place/WAREHOUSE+DENIM+TOKYO/data=!4m2!3m1!1s0x60188b43f87d82e1:0xad9b89c8dd4c7e05,,
Catii (FDMTL),,https://www.google.com/maps/place/Catii+(FDMTL)/data=!4m2!3m1!1s0x60188b2fa528b57f:0x6ea63a82461ab3ee,,
jelado,,https://www.google.com/maps/place/jelado/data=!4m2!3m1!1s0x60188b440cb5aaab:0xeb2024e8d98fb953,,
upperupper,,https://www.google.com/maps/place/upperupper/data=!4m2!3m1!1s0x60188e9f7f9302ef:0x489214f132ad94ad,,
Gould,,https://www.google.com/maps/place/Gould/data=!4m2!3m1!1s0x6018f3c061671dc1:0x93d7d4e59ae7f5bc,,
All i Need,,https://www.google.com/maps/place/All+i+Need/data=!4m2!3m1!1s0x60188f348b587019:0x6d8ee42b99345acf,,
RONGO RONGO Vintage Clothing Store,,https://www.google.com/maps/place/RONGO+RONGO+Vintage+Clothing+Store/data=!4m2!3m1!1s0x6018f306d0f0f9ab:0x9b03208b8273d5eb,,
miyabi clothing store,,https://www.google.com/maps/place/miyabi+clothing+store/data=!4m2!3m1!1s0x601861dd4ffc0205:0x989ea0fe89cc6913,,
allz,,https://www.google.com/maps/place/allz/data=!4m2!3m1!1s0x601861128759ef71:0x7d9e615f6289e23e,,
TINSLETOWN powered by homesicc,,https://www.google.com/maps/place/TINSLETOWN+powered+by+homesicc/data=!4m2!3m1!1s0x60188d6e110f33d3:0x6be1a3f47248483,,
SRAY,,https://www.google.com/maps/place/SRAY/data=!4m2!3m1!1s0x6018c15426509c2d:0x2b559d2afeeaf33a,,
DCPLAYFUL,,https://www.google.com/maps/place/DCPLAYFUL/data=!4m2!3m1!1s0x6000e4f642d97f4d:0x5b5badc8f974c5fb,,
Pigsty原宿店,,https://www.google.com/maps/place/Pigsty%E5%8E%9F%E5%AE%BF%E5%BA%97/data=!4m2!3m1!1s0x60188d38ea1330ff:0xe58562705c69f3e4,,
prasthana sendagaya store,,https://www.google.com/maps/place/prasthana+sendagaya+store/data=!4m2!3m1!1s0x60188d4a0bee6643:0x89f8b3c714fd64d7,,
signal,,https://www.google.com/maps/place/signal/data=!4m2!3m1!1s0x601ade64c903b5c5:0x3ad7166592f4b0a8,,
VEKTOR.KYOTO,,https://www.google.com/maps/place/VEKTOR.KYOTO/data=!4m2!3m1!1s0x60010895b34f07f7:0x45b13472d893e945,,
curve,,https://www.google.com/maps/place/curve/data=!4m2!3m1!1s0x6018f31b80ff3fc5:0xb09f4c3f890f1843,,
Neova,,https://www.google.com/maps/place/Neova/data=!4m2!3m1!1s0x60188de1ef7dc4d7:0x18c9961cb3bf65b1,,
6% Doki Doki,,https://www.google.com/maps/place/6%25+Doki+Doki/data=!4m2!3m1!1s0x60188ca38751e85d:0x140c94357ccad357,,
Hayatochiri,,https://www.google.com/maps/place/Hayatochiri/data=!4m2!3m1!1s0x6018f27c3ac81707:0x117972c164dc0312,,
RCv Tokyo,,https://www.google.com/maps/place/RCv+Tokyo/data=!4m2!3m1!1s0x60188d00547e7421:0x1f995a60e0180d7b,,
Vase,,https://www.google.com/maps/place/Vase/data=!4m2!3m1!1s0x60188b2fbe926beb:0xdc5d09a372ac48fa,,
SeekeR原宿店,,https://www.google.com/maps/place/SeekeR%E5%8E%9F%E5%AE%BF%E5%BA%97/data=!4m2!3m1!1s0x60188d1ea382cddf:0x472d084e13756c81,,
UNITED ARROWS Harajuku Main Store,,https://www.google.com/maps/place/UNITED+ARROWS+Harajuku+Main+Store/data=!4m2!3m1!1s0x60188ca2d100f971:0xc6dc5cba5976a3de,,
Waves Tokyo,,https://www.google.com/maps/place/Waves+Tokyo/data=!4m2!3m1!1s0x60188dfacf5c74ff:0xbc6f61abb5214e1,,
boutiqueW,,https://www.google.com/maps/place/boutiqueW/data=!4m2!3m1!1s0x60188ca12e31b067:0xb50a80df11408b79,,
anthem_chill,,https://www.google.com/maps/place/anthem_chill/data=!4m2!3m1!1s0x60188b34feb4280f:0x7c155aeec8ed0e67,,
comma,,https://www.google.com/maps/place/comma/data=!4m2!3m1!1s0x60188f8755ed0175:0x1e9ce2f114d2e94e,,
SALAMANCA,,https://www.google.com/maps/place/SALAMANCA/data=!4m2!3m1!1s0x60188d67ddc57bc3:0xb0b0aa4d0ee4a104,,
LAUGH by Kissmet,,https://www.google.com/maps/place/LAUGH+by+Kissmet/data=!4m2!3m1!1s0x6018f287fad35d5b:0x18a01ab5f9b5f118,,
loose（ルース）,,https://www.google.com/maps/place/loose%EF%BC%88%E3%83%AB%E3%83%BC%E3%82%B9%EF%BC%89/data=!4m2!3m1!1s0x601861bc50bfbabb:0xa019cc2073e7062d,,
C THE C 蔵前店,,https://www.google.com/maps/place/C+THE+C+%E8%94%B5%E5%89%8D%E5%BA%97/data=!4m2!3m1!1s0x60188f00752b283d:0xd62e6e2b3b2f85e4,,
4BFC,,https://www.google.com/maps/place/4BFC/data=!4m2!3m1!1s0x60188db18eec42bd:0xe899a99fcc8a097c,,
NINETEEN EIGHTY FIVE JP,,https://www.google.com/maps/place/NINETEEN+EIGHTY+FIVE+JP/data=!4m2!3m1!1s0x6018f94459090a27:0x17344bdb8a11a246,,
the Apartment,,https://www.google.com/maps/place/the+Apartment/data=!4m2!3m1!1s0x6018ee473f5aaaab:0x988cd1d8a3f1e356,,
REFLEX,,https://www.google.com/maps/place/REFLEX/data=!4m2!3m1!1s0x60188b48b3615551:0xa10a5c52b3e88090,,
CC STORE,,https://www.google.com/maps/place/CC+STORE/data=!4m2!3m1!1s0x60188d006fbdc663:0xf263cf840b9ee223,,
00,,https://www.google.com/maps/place/00/data=!4m2!3m1!1s0x60188d54ce726891:0x481a618b6f4c43fd,,
GREY,,https://www.google.com/maps/place/GREY/data=!4m2!3m1!1s0x6003710aece204eb:0x83e5ccef6a0fb912,,
MIDI,,https://www.google.com/maps/place/MIDI/data=!4m2!3m1!1s0x60188d003fc5f8c9:0xd74e4793128960,,
A.A VINTAGE TOKYO,,https://www.google.com/maps/place/A.A+VINTAGE+TOKYO/data=!4m2!3m1!1s0x60188d682c232dbb:0xea221febacc55c9b,,
Sokkyou,,https://www.google.com/maps/place/Sokkyou/data=!4m2!3m1!1s0x6018f27d0060aea1:0x192c1b94b399826e,,
無人古着フクオウル24H,,https://www.google.com/maps/place/%E7%84%A1%E4%BA%BA%E5%8F%A4%E7%9D%80%E3%83%95%E3%82%AF%E3%82%AA%E3%82%A6%E3%83%AB24H/data=!4m2!3m1!1s0x6018efc8063bf7f7:0xe42a917e27ee161e,,
Jesus Judas,,https://www.google.com/maps/place/Jesus+Judas/data=!4m2!3m1!1s0x6018f390328ed00f:0x684e53635d6e497c,,
ETHNIC TOKYO,,https://www.google.com/maps/place/ETHNIC+TOKYO/data=!4m2!3m1!1s0x60188eb160ace95f:0x9969341d6621b6a,,
HOOKED,,https://www.google.com/maps/place/HOOKED/data=!4m2!3m1!1s0x60188b5e94959fc3:0x6659f8e934ab7c93,,
Arms Clothing Store 青山,,https://www.google.com/maps/place/Arms+Clothing+Store+%E9%9D%92%E5%B1%B1/data=!4m2!3m1!1s0x60188b2d5e8cfb81:0x1280754d548fb6f9,,
SUPER LOVE MARKET,,https://www.google.com/maps/place/SUPER+LOVE+MARKET/data=!4m2!3m1!1s0x60188bfdd0cae19d:0xb58fcc1bed5f6cfb,,
MA STORE,,https://www.google.com/maps/place/MA+STORE/data=!4m2!3m1!1s0x6018f35be1b21a1b:0x8d5f050c085bdcad,,
YAURAN,,https://www.google.com/maps/place/YAURAN/data=!4m2!3m1!1s0x6018f38eef695225:0x87047c925281b02e,,
えん -en-,,https://www.google.com/maps/place/%E3%81%88%E3%82%93+-en-/data=!4m2!3m1!1s0x6018f306d2e7d681:0xed29637967021486,,
SWANK,,https://www.google.com/maps/place/SWANK/data=!4m2!3m1!1s0x6018f36c740a4bd7:0xc319a5294e83453b,,
Young,,https://www.google.com/maps/place/Young/data=!4m2!3m1!1s0x6018f3458a6f1dcf:0xb79bb604a3a68c18,,
